id,title,developer1,developer2,developer3,developer4
4870,Cossacks: Art of War,GSC Game World
4880,Cossacks: European Wars,GSC Game World
4890,Cossacks II: Battle for Europe,GSC Game World
4900,Zen of Sudoku,Unknown Worlds
4920,Natural Selection 2,Unknown Worlds Entertainment
6000,STAR WARS&acirc;&#132;&cent; Republic Commando&acirc;&#132;&cent;,LucasArts
6010,Indiana Jones&Acirc;&reg; and the Fate of Atlantis&acirc;&#132;&cent;,LucasArts
6020,STAR WARS&acirc;&#132;&cent; Jedi Knight - Jedi Academy&acirc;&#132;&cent;,Raven Software,Aspyr (Mac)
6030,STAR WARS&acirc;&#132;&cent; Jedi Knight II - Jedi Outcast&acirc;&#132;&cent;,Raven Software,Aspyr (Mac)
6040,The Dig&Acirc;&reg;,LucasArts
6060,STAR WARS&acirc;&#132;&cent; Battlefront&acirc;&#132;&cent; II,Pandemic Studios
6080,Thrillville&Acirc;&reg;: Off the Rails&acirc;&#132;&cent;,Frontier
6090,Armed and Dangerous&Acirc;&reg;,Planet Moon Studios
6120,Shank,Klei Entertainment
6200,Ghost Master&Acirc;&reg;,Sick Puppies
6210,Vegas: Make It Big&trade;,Deepred
6220,FlatOut,Bugbear Entertainment
6250,Making History: The Calm &amp; the Storm,Muzzy Lane
6270,Ducati World Championship,Artematica Entertainment
6300,Dreamfall: The Longest Journey,Funcom
6310,The Longest Journey,Funcom
6370,Bloodline Champions,Stunlock Studios
6400,Joint Task Force,Most Wanted Entertainment
6420,Nexus - The Jupiter Incident,Mithis Games,Nordic Games
6510,Lost Planet&acirc;&#132;&cent;: Extreme Condition,"CAPCOM Co., Ltd."
6550,Devil May Cry&Acirc;&reg; 3 Special Edition,"CAPCOM Co., Ltd."
6600,Bullet Candy,R C Knight
6800,Commandos: Behind Enemy Lines,Pyro Studios
6810,Commandos: Beyond the Call of Duty,Pyro Studios
6830,Commandos 2: Men of Courage,Pyro Studios
6840,Commandos 3: Destination Berlin,Pyro Studios
6850,Hitman 2: Silent Assassin,IO Interactive
6860,Hitman: Blood Money,IO Interactive
6870,Battlestations: Midway,Eidos Interactive
6880,Just Cause,Avalanche Studios
6900,Hitman: Codename 47,IO Interactive
6910,Deus Ex: Game of the Year Edition,Ion Storm
6920,Deus Ex: Invisible War,Ion Storm
6980,Thief: Deadly Shadows,Ion Storm
7000,Tomb Raider: Legend,Crystal Dynamics
7010,Project: Snowblind,Crystal Dynamics
7020,Rogue Trooper,Rebellion
7110,Jade Empire&acirc;&#132;&cent;: Special Edition,BioWare Corporation
7200,Trackmania United Forever Star Edition,Nadeo
7210,"Runaway, A Road Adventure",Pendulo Studios
7220,"Runaway, The Dream of The Turtle",Pendulo Studios
7260,Loki,Cyanide Studios
7340,Azada,Big Fish Games
7510,X-Blades,Topware Interactive
7520,Two Worlds II,Reality Pump Studios
7530,Two Worlds II Castle Defense,Reality Pump Studios
7600,Sid Meier's Railroads!,Firaxis Games
7610,Railroad Tycoon 3,PopTop
7620,Railroad Tycoon II Platinum,PopTop
7650,X-COM: Terror From the Deep,"MicroProse Software, Inc"
7660,X-COM: Apocalypse,"MicroProse Software, Inc"
7670,BioShock&acirc;&#132;&cent;,2K Boston,2K Australia
7730,X-COM: Interceptor,"MicroProse Software, Inc"
7760,X-COM: UFO Defense,"MicroProse Software, Inc"
7770,X-COM: Enforcer,"MicroProse Software, Inc"
7830,Men of War&acirc;&#132;&cent;,Best Way
7840,Death Track&Acirc;&reg;: Resurrection,Sky Fallen
7860,NecroVision,The Farm 51
7940,Call of Duty&Acirc;&reg; 4: Modern Warfare&Acirc;&reg;,Infinity Ward,Aspyr (Mac)
7970,Cabela's&reg; Big Game Hunter&trade; Trophy Bucks,Magic Wand
8000,Tomb Raider: Anniversary,Crystal Dynamics,Feral Interactive (Mac)
8080,Kane and Lynch: Dead Men&acirc;&#132;&cent;,IO Interactive
8100,Conflict: Denied Ops,Pivotal Games
8140,Tomb Raider: Underworld,Crystal Dynamics
8170,Battlestations Pacific,Eidos Studio Hungary
8190,Just Cause 2,Avalanche Studios
8230,Sam &amp; Max 104: Abe Lincoln Must Die!,Telltale Games
8310,Bone: Out From Boneville,Telltale Games
8320,Bone: The Great Cow Race,Telltale Games
8330,Telltale Texas Hold &acirc;&#128;&#152;Em,Telltale Games
8340,Strong Bad's Cool Game for Attractive People: Season 1,Telltale Games
8400,Geometry Wars: Retro Evolved,Bizarre Creations
8500,EVE Online,CCP
8600,RACE 07,SimBin
8650,RACE 07: Andy Priaulx Crowne Plaza Raceway (Free DLC),SimBin
8660,GTR Evolution Expansion Pack for RACE 07,SimBin
8690,STCC - The Game 1 - Expansion Pack for RACE 07,SimBin
8780,RACE On,SimBin
8790,GTR 2 FIA GT Racing Game,SimBin Studios AB
8800,Civilization IV: Beyond the Sword,Firaxis Games
8850,BioShock&Acirc;&reg; 2,2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)
8870,BioShock Infinite,Irrational Games,Aspyr (Mac),Virtual Programming (Linux)
8880,Freedom Force,Irrational Games
8890,Freedom Force vs. the Third Reich,Irrational Games
8930,Sid Meier's Civilization&Acirc;&reg; V,Firaxis Games,"Aspyr (Mac, Linux)"
8970,Axel &amp; Pixel,Silver Wish Games
8980,Borderlands,Gearbox Software
8990,Borderlands: The Zombie Island of Dr. Ned,Gearbox Software
9000,Spear of Destiny,id Software
9010,Return to Castle Wolfenstein,Gray Matter Studios
9030,QUAKE Mission Pack 2: Dissolution of Eternity,Rogue Entertainment
9040,QUAKE Mission Pack 1: Scourge of Armagon,Ritual Entertainment
9050,DOOM 3,id Software
9060,HeXen II,Raven Software
9070,DOOM 3 Resurrection of Evil,id Software
9160,Master Levels for Doom II,id Software
9180,Commander Keen,id Software
9200,RAGE,id Software
9310,"Warhammer&Acirc;&reg; 40,000: Dawn Of War&Acirc;&reg; &acirc;&#128;&#147; Winter Assault",Relic Entertainment
9340,Company of Heroes: Opposing Fronts,Relic Entertainment
9350,Supreme Commander,Gas Powered Games
9420,Supreme Commander: Forged Alliance,Gas Powered Games
9450,"Warhammer&Acirc;&reg; 40,000: Dawn of War&Acirc;&reg; - Soulstorm",Relic Entertainment
9460,Frontlines&acirc;&#132;&cent;: Fuel of War&acirc;&#132;&cent;,Kaos Studios
9480,Saints Row 2,Volition
9500,Gish,Cryptic Sea
9710,Desperados 2: Cooper's Revenge,Spellbound
9730,Tycoon City: New York
9760,Act of War: High Treason,Eugen Systems
9800,Death to Spies,Haggard Games
9850,Codename: Panzers - Cold War,InnoGlow,Stormregion
9870,Ghostbusters: The Videogame,Terminal Reality
9880,Champions Online,Cryptic Studios
9900,Star Trek Online,Cryptic Studios
9908,Star Trek Online: Steam Starter Pack,Cryptic Studios
9930,Test Drive Unlimited 2,Eden Studios
9940,Blade Kitten,Krome Studios
9960,Haunted House&acirc;&#132;&cent;,ImagineEngline
9970,Star Raiders,Incinerator Studios
9980,The UnderGarden,Artech Studios
9990,Ghostbusters: Sanctum of Slime,Behaviour
9992,Ghostbusters: Sanctum of Slime Challenge Pack DLC,Behaviour
10090,Call of Duty: World at War,Treyarch
10110,Space Quest&trade; Collection
10120,Aces of the Galaxy&trade;,Artech Studios
10130,TimeShift&acirc;&#132;&cent;,Saber Interactive
10140,3D Ultra&acirc;&#132;&cent; Minigolf Adventures,Wanako Games
10150,Prototype&acirc;&#132;&cent;,Radical Entertainment
10180,Call of Duty&Acirc;&reg;: Modern Warfare&Acirc;&reg; 2,Infinity Ward,Aspyr (Mac)
10195,Call of Duty&Acirc;&reg;: Modern Warfare&Acirc;&reg; 2 Stimulus Package,Infinity Ward,Aspyr (Mac)
10196,Call of Duty&Acirc;&reg;: Modern Warfare&Acirc;&reg; 2 Resurgence Pack,Infinity Ward,Aspyr (Mac)
10220,Postal III,Trashmasters
10230,Dead Mountaineer's Hotel,Electronic Paradise
10240,A Stroke of Fate: Operation Valkyrie,SPLine
10250,PT Boats: Knights of the Sea,Studio4
10260,PT Boats: South Gambit,studio4
10270,Disciples III: Reincarnation,Akella
10460,The Club&acirc;&#132;&cent;,Bizarre Creations
10500,Empire: Total War&acirc;&#132;&cent;,The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)
10520,Beijing 2008&trade; - The Official Video Game of the Olympic Games,Eurocom
10530,Space Siege,Gas Powered Games
10600,Empire: Total War&acirc;&#132;&cent; - Special Forces Units &amp; Bonus Content,The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)
10604,Empire: Total War&acirc;&#132;&cent; - Elite Units of the West,The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)
10606,Empire: Total War&acirc;&#132;&cent; - The Warpath Campaign,The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)
10607,Empire: Total War&acirc;&#132;&cent; - Elite Units of America,The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)
10608,Empire: Total War&acirc;&#132;&cent; - Elite Units of the East,The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)
10680,Aliens vs. Predator&acirc;&#132;&cent;,Rebellion
10695,Aliens vs. Predator Swarm Map Pack,Rebellion
10697,Aliens vs Predator&acirc;&#132;&cent; Bughunt Map Pack,Rebellion
11020,TrackMania Nations Forever,Nadeo
11040,Sherlock Holmes - Nemesis,Frogwares
11050,Dracula Origin,Frogwares
11130,Sherlock Holmes: The Mystery of the Mummy,Frogwares
11140,Sherlock Holmes: The Awakened - Remastered Edition,Frogwares
11150,Sherlock Holmes: The Silver Earring,Frogwares
11180,Sherlock Holmes: The Mystery of the Persian Carpet,Frogwares
11190,Sherlock Holmes versus Jack the Ripper,Frogwares
11200,Shadowgrounds Survivor,Frozenbyte
11230,Gumboy Tournament,"CINEMAX, s.r.o."
11240,Space Trader: Merchant Marine,Hermitworks Entertainment 
11250,Pacific Storm,Buka Entertainment,Lesta Studio
