id,tag
2280,Sci-fi
2280,Shooter
2280,Retro
2280,Gore
2280,First-Person
2280,Multiplayer
2280,Fast-Paced
2280,Zombies
2280,2.5D
2280,Horror
2280,Violent
2280,Difficult
2290,Action
2290,FPS
2290,Classic
2290,Retro
2290,Shooter
2290,Singleplayer
2290,Moddable
2290,First-Person
2290,Sci-fi
2290,Difficult
2290,Multiplayer
2290,1990's
2290,Great Soundtrack
2290,Zombies
2290,Demons
2300,Classic
2300,FPS
2300,Action
2300,Moddable
2300,Shooter
2300,1990's
2300,Sci-fi
2300,Demons
2300,Violent
2300,Retro
2300,First-Person
2300,Multiplayer
2300,Gore
2300,Singleplayer
2300,Zombies
2300,Online Co-Op
2300,Great Soundtrack
2300,Horror
2300,Pixel Graphics
2300,2.5D
2310,FPS
2310,Classic
2310,Action
2310,Shooter
2310,Singleplayer
2310,Multiplayer
2310,Lovecraftian
2310,1990's
2310,Gore
2310,First-Person
2310,Sci-fi
2310,Great Soundtrack
2310,Moddable
2310,Horror
2310,Retro
2310,Fast-Paced
2310,Atmospheric
2310,Co-op
2310,Adventure
2310,Competitive
2320,Action
2320,FPS
2320,Classic
2320,Sci-fi
2320,Shooter
2320,Great Soundtrack
2320,1990's
2320,Singleplayer
2320,Multiplayer
2320,Gore
2320,First-Person
2320,Moddable
2320,Retro
2320,Fast-Paced
2320,Co-op
2330,Action
2330,FPS
2330,Shooter
2330,Classic
2340,Action
2340,FPS
2340,Shooter
2350,Action
2350,FPS
2350,Competitive
2350,Shooter
2350,Multiplayer
2350,Classic
2350,Fast-Paced
2350,Arena Shooter
2360,Action
2360,FPS
2360,Classic
2360,Fantasy
2360,Retro
2360,Dark Fantasy
2360,Class-Based
2360,Singleplayer
2360,Shooter
2360,1990's
2360,RPG
2370,Action
2370,Classic
2370,FPS
2370,Shooter
2370,Fantasy
2390,Action
2390,Classic
2390,FPS
2390,Fantasy
2390,Shooter
2390,Dark Fantasy
2390,Retro
2390,First-Person
2390,Singleplayer
2390,1990's
2400,Multiplayer
2400,Indie
2400,Action
2400,First-Person
2400,Stealth
2400,RPG
2400,Mystery
2400,Assassin
2400,Funny
2400,Survival
2400,Strategy
2400,Simulation
2400,FPS
2400,Adventure
2400,Comedy
2400,Singleplayer
2400,Shooter
2400,Stylized
2400,Difficult
2400,Replay Value
2420,Action
2420,Indie
2420,RPG
2420,Singleplayer
2420,FPS
2450,Action
2450,FPS
2450,Multiplayer
2450,Comedy
2450,Funny
2450,Shooter
2450,Gore
2500,Action
2500,Sci-fi
2500,Top-Down Shooter
2500,Shooter
2500,Local Co-Op
2500,Singleplayer
2500,Top-Down
2500,Aliens
2500,Co-op
2500,Horror
2500,Isometric
2500,Adventure
2520,Indie
2520,Casual
2520,Singleplayer
2540,Indie
2540,Casual
2540,Arcade
2540,Action
2540,Shooter
2540,2D
2540,Top-Down
2570,Indie
2570,RPG
2570,Puzzle
2570,Singleplayer
2590,Action
2590,FPS
2590,Sci-fi
2590,Shooter
2590,First-Person
2590,Singleplayer
2590,Difficult
2590,Space
2600,RPG
2600,Vampire
2600,Cult Classic
2600,Action
2600,Singleplayer
2600,Supernatural
2600,Horror
2600,Classic
2600,Dark
2600,Action RPG
2600,Atmospheric
2600,Story Rich
2600,Great Soundtrack
2600,Female Protagonist
2600,First-Person
2600,Gothic
2600,Third Person
2600,Stealth
2600,Adventure
2600,FPS
2610,Western
2610,Action
2610,Open World
2610,Third-Person Shooter
2610,Adventure
2610,Atmospheric
2610,Classic
2610,Shooter
2610,Singleplayer
2610,Sandbox
2610,Third Person
2620,FPS
2620,Action
2620,World War II
2620,Classic
2620,Shooter
2620,Multiplayer
2620,Singleplayer
2620,War
2620,Atmospheric
2620,First-Person
2620,Historical
2620,Military
2620,Linear
2620,America
2620,Casual
2620,Zombies
2630,Action
2630,FPS
2630,World War II
2630,Multiplayer
2630,Shooter
2630,Classic
2630,Singleplayer
2630,War
2630,Historical
2630,First-Person
2630,Atmospheric
2640,Action
2640,World War II
2640,FPS
2640,Shooter
2640,Singleplayer
2640,Multiplayer
2640,Historical
2640,Military
2640,Classic
2640,War
2640,Atmospheric
2700,Simulation
2700,Management
2700,Sandbox
2700,Building
2700,Strategy
2700,Singleplayer
2700,Economy
2700,Classic
2700,Real-Time with Pause
2700,Funny
2700,Family Friendly
2710,Action
2710,Strategy
2710,RTS
2720,Action
2720,Strategy
2720,Indie
2720,Space
2780,Action
2780,Simulation
2780,FPS
2780,Shooter
2780,Military
2780,Tactical
2800,Space
2800,Strategy
2800,Simulation
2800,Sci-fi
2800,Space Sim
2800,Open World
2800,Singleplayer
2800,Trading
2800,Sandbox
2800,Economy
2800,Action
2810,Space
2810,Strategy
2810,Simulation
2810,Sandbox
2810,Sci-fi
2810,Economy
2810,Space Sim
2810,Singleplayer
2810,Open World
2810,Action
2810,Flight
2810,Trading
2820,Space
2820,Simulation
2820,Sci-fi
2820,Sandbox
2820,Strategy
2820,Trading
2820,Space Sim
2820,Open World
2820,Singleplayer
2820,Action
2820,Economy
2820,Capitalism
2820,Great Soundtrack
2820,Moddable
2820,4X
2820,Flight
2840,Simulation
2840,Space
2840,Strategy
2840,Sci-fi
2840,Singleplayer
2840,Space Sim
2840,Trading
2840,Economy
2840,Sandbox
2840,Action
2840,Open World
2850,Simulation
2850,Strategy
2850,Space
2850,Sci-fi
2850,Space Sim
2850,Economy
2850,Singleplayer
2850,Sandbox
2850,Action
2850,Open World
2870,Space
2870,Simulation
2870,Sci-fi
2870,Action
2870,Sandbox
2870,Space Sim
2870,Singleplayer
2870,Open World
2870,Economy
2870,Trading
2870,Strategy
2870,Moddable
2870,Adventure
2870,Atmospheric
2870,4X
2870,Great Soundtrack
2900,Strategy
2900,Simulation
2900,Naval
2910,Strategy
2910,Naval
2920,Strategy
2920,Simulation
2920,Naval
2990,Racing
2990,Destruction
2990,Multiplayer
2990,Classic
2990,Great Soundtrack
2990,Action
2990,Singleplayer
2990,Music
2990,Simulation
3000,Racing
3010,Racing
3010,Multiplayer
3020,Western
3020,Action
3020,FPS
3020,Shooter
3020,Adventure
3020,Singleplayer
3020,Atmospheric
3020,First-Person
3020,Multiplayer
3020,Stealth
3050,Racing
3050,Offroad
3130,Strategy
3130,World War II
3130,RTS
3170,RPG
3170,Turn-Based Strategy
3170,Strategy
3170,Fantasy
3170,Hex Grid
3170,Female Protagonist
3170,Turn-Based
3170,Tactical
3170,Adventure
3170,Open World
3170,Singleplayer
3200,Action
3200,FPS
3200,Fast-Paced
3200,Gore
3200,Classic
3200,Shooter
3200,Arena Shooter
